family,run,mechanism,source_dir,ate_rmse,rpe_t_m,rpe_t_norm,rpe_t_norm_valid,rpe_t_norm_starved,valid_pose_pct,tracking_loss_pct,n_active_frames,sim3_scale
F6_L2,3,EIS-GATED,p3,0.4112067618955917,0.017345457732251143,1.1909272004720775,1.2119985040603978,0.9838471479661691,90.77901430842607,9.220985691573928,629,0.014564666694467548
F6_L2,3,DELAYED-TRI,p3,0.48998692293056395,0.017222131581151285,0.7591643861880055,1.1416945853900524,0.37418990456294254,50.23847376788553,49.76152623211447,629,0.02268564212769362
F9_L2,1,RAW,phase2a,3.0962707182939546,0.08379321738373639,0.9142630003007951,0.9206311482302643,0.822137126921142,93.54375896700144,6.456241032998565,697,0.09165110844053427
F9_L2,1,EIS-GATED,phase2a,2.701477300259789,0.09804859542670057,0.8925037323578646,0.8828853531699075,1.0068555738146876,92.25251076040172,7.747489239598278,697,0.10985791080970662
F9_L2,1,DELAYED-TRI,phase2a,2.424652290156015,0.0736882537026422,0.4444173226325071,0.8258071049098964,0.18617508451215423,40.45911047345767,59.54088952654233,697,0.16580868915313574
F9_L2,2,RAW,phase2a,3.938744298880193,0.0690916856056978,0.9326888341321018,0.9372275564359339,0.8638859301171944,93.82022471910112,6.179775280898876,712,0.07407795941932759
F9_L2,2,EIS-GATED,phase2a,3.011453744848527,0.07232110129084646,0.9087848246534691,0.8974978400915502,1.0434077677919917,92.2752808988764,7.724719101123595,712,0.07958000544124776
F9_L2,2,DELAYED-TRI,phase2a,2.9146496642771473,0.07984429350309365,0.4321120638314643,0.8099963509805608,0.16723145106905934,41.29213483146067,58.70786516853933,712,0.18477682107536608
F9_L2,3,RAW,phase2a,2.9267766561638915,0.08553093543491329,0.8689109223681205,0.8671379120435857,0.8886280199426871,91.76136363636364,8.238636363636363,704,0.09843464184085544
F9_L2,3,EIS-GATED,phase2a,3.3574233100058053,0.08886380442567088,0.8926988046989799,0.8832488365175994,0.9997984440879559,91.9034090909091,8.096590909090908,704,0.09954511416158551
F9_L2,3,DELAYED-TRI,phase2a,2.9432620795082007,0.0788321387720471,0.4651928922450783,0.820883961149556,0.1813677937842164,44.46022727272727,55.53977272727273,704,0.16946118499703094
F10_L3,1,RAW,p3,2.5490157227043113,0.0695564483005344,1.1352179789163592,1.145329195028494,0.948441347956088,94.87179487179488,5.128205128205128,702,0.06127144706334781
F10_L3,1,EIS-GATED,p3,2.837388228376579,0.0662030240164598,1.1084675633154017,1.1110662981987918,1.0676921755022037,94.01709401709402,5.982905982905983,702,0.05972481848584549
F10_L3,1,DELAYED-TRI,p3,2.801359464925794,0.07282488398930205,0.7709200054311327,1.0213306093225647,0.3275051811490713,63.960113960113965,36.039886039886035,702,0.09446490359084032
F10_L3,2,RAW,p3,1.7058008044600435,0.07414793653301882,1.077111747698652,1.080550609545855,1.0277449754032504,93.4971098265896,6.502890173410404,692,0.06883959504800007
F10_L3,2,EIS-GATED,p3,1.8525651364029037,0.07269823581700134,1.1191978818482913,1.109987078204277,1.2347844373810186,92.6300578034682,7.369942196531793,692,0.06495565886610183
F10_L3,2,DELAYED-TRI,p3,2.016259569917531,0.07991118386314701,0.5409092498390174,0.9870054233470803,0.20661945905829188,42.91907514450867,57.08092485549133,692,0.14773491835632271
F10_L3,3,RAW,p3,2.2003183996222804,0.07689242887978237,0.9581212512835224,0.9650986390114309,0.844830508438274,94.20731707317073,5.7926829268292686,656,0.08025333826671249
F10_L3,3,EIS-GATED,p3,2.91053684791342,0.05890359088753365,1.0998207844778127,1.1029838513870092,1.0524519288132592,93.75,6.25,656,0.05355744473905416
F10_L3,3,DELAYED-TRI,p3,2.89971256654571,0.0634321160624407,0.7123804582543424,0.9474162446828258,0.3530207230200583,60.51829268292683,39.48170731707317,656,0.08904247067343533
