frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,feature_survival_rate,feature_vel_mean,feature_vel_max,consecutive_low_inliers,failure_triggered_streak,window_low_inlier_pct,failure_triggered_window,rel_tx,rel_ty,rel_tz,rel_rot_deg
52,7,954000000,7.954000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0001,0.0070,53,True,100.00,True,0.0,0.0,0.0,0.00
53,7,987000000,7.987000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,54,True,100.00,True,0.0,0.0,0.0,0.00
54,8,20000000,8.020000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0119,0.8164,55,True,100.00,True,0.0,0.0,0.0,0.00
55,8,53000000,8.053000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0004,0.0629,56,True,100.00,True,0.0,0.0,0.0,0.00
56,8,86000000,8.086000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,57,True,100.00,True,0.0,0.0,0.0,0.00
57,8,119000000,8.119000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0426,1.7938,58,True,100.00,True,0.0,0.0,0.0,0.00
58,8,152000000,8.152000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0638,2.1246,59,True,100.00,True,0.0,0.0,0.0,0.00
59,8,185000000,8.185000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,3,0.0015,1.0000,0.0149,0.8423,60,True,100.00,True,0.0,0.0,0.0,0.00
60,8,218000000,8.218000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0098,0.8524,61,True,100.00,True,0.0,0.0,0.0,0.00
61,8,251000000,8.251000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0001,0.0070,62,True,100.00,True,0.0,0.0,0.0,0.00
62,8,284000000,8.284000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,63,True,100.00,True,0.0,0.0,0.0,0.00
63,8,317000000,8.317000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0119,0.8185,64,True,100.00,True,0.0,0.0,0.0,0.00
64,8,350000000,8.350000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0626,65,True,100.00,True,0.0,0.0,0.0,0.00
65,8,383000000,8.383000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,66,True,100.00,True,0.0,0.0,0.0,0.00
66,8,416000000,8.416000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0429,1.7941,67,True,100.00,True,0.0,0.0,0.0,0.00
67,8,449000000,8.449000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0637,2.0872,68,True,100.00,True,0.0,0.0,0.0,0.00
68,8,482000000,8.482000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,3,0.0015,1.0000,0.0149,0.8400,69,True,100.00,True,0.0,0.0,0.0,0.00
69,8,515000000,8.515000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0099,0.8533,70,True,100.00,True,0.0,0.0,0.0,0.00
70,8,548000000,8.548000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0001,0.0068,71,True,100.00,True,0.0,0.0,0.0,0.00
71,8,581000000,8.581000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,72,True,100.00,True,0.0,0.0,0.0,0.00
72,8,614000000,8.614000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0119,0.8136,73,True,100.00,True,0.0,0.0,0.0,0.00
73,8,647000000,8.647000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0626,74,True,100.00,True,0.0,0.0,0.0,0.00
74,8,680000000,8.680000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,75,True,100.00,True,0.0,0.0,0.0,0.00
75,8,713000000,8.713000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0425,1.7935,76,True,100.00,True,0.0,0.0,0.0,0.00
76,8,746000000,8.746000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0637,2.0646,77,True,100.00,True,0.0,0.0,0.0,0.00
77,8,779000000,8.779000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,3,0.0015,1.0000,0.0149,0.8401,78,True,100.00,True,0.0,0.0,0.0,0.00
78,8,812000000,8.812000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0099,0.8533,79,True,100.00,True,0.0,0.0,0.0,0.00
79,8,845000000,8.845000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0001,0.0070,80,True,100.00,True,0.0,0.0,0.0,0.00
80,8,878000000,8.878000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,81,True,100.00,True,0.0,0.0,0.0,0.00
81,8,911000000,8.911000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0119,0.8131,82,True,100.00,True,0.0,0.0,0.0,0.00
82,8,944000000,8.944000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0004,0.0626,83,True,100.00,True,0.0,0.0,0.0,0.00
83,8,977000000,8.977000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,84,True,100.00,True,0.0,0.0,0.0,0.00
84,9,10000000,9.010000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0425,1.7974,85,True,100.00,True,0.0,0.0,0.0,0.00
